Date,Resident/Description,Category,Type,Amount,Method,Status
Apr 22, 2026,null,Barangay Clearance,Income,₱70.00,GCash,Pending
Apr 22, 2026,Helen Anderson,Certificate of Residency,Income,₱50.00,GCash,Pending
Apr 22, 2026,null,Certificate of Indigency,Income,₱80.00,GCash,Pending
Apr 22, 2026,Alice Rodriguez,Certificate of Indigency,Income,₱80.00,GCash,Pending
Apr 22, 2026,Victor Oakes,Certificate of Residency,Income,₱50.00,GCash,Pending
Apr 22, 2026,Dorothy Mckinney,Barangay Clearance,Income,₱70.00,GCash,Pending
Apr 22, 2026,Frank Taylor,Barangay Clearance,Income,₱70.00,GCash,Pending
Apr 22, 2026,Jack Watson,Certificate of Indigency,Income,₱80.00,GCash,Pending
Apr 22, 2026,Katherine Ellis,Certificate of Residency,Income,₱50.00,GCash,Pending
Apr 22, 2026,Louis Pitchford,Barangay Clearance,Income,₱70.00,GCash,Pending
Apr 22, 2026,Beverly Mccallum,Certificate of Indigency,Income,₱80.00,GCash,Pending
Apr 22, 2026,Marilyn Jordan,Barangay Clearance,Income,₱70.00,GCash,Pending
Apr 22, 2026,Roy West,Certificate of Indigency,Income,₱80.00,GCash,Pending
Apr 22, 2026,Russell Vollrath,Certificate of Residency,Income,₱50.00,GCash,Pending
Apr 22, 2026,Judy Cole,Certificate of Residency,Income,₱50.00,GCash,Pending
Apr 22, 2026,Ralph Woods,Barangay Clearance,Income,₱70.00,GCash,Pending
Apr 22, 2026,Diana Wallace,Certificate of Indigency,Income,₱80.00,GCash,Pending
Apr 22, 2026,Henry Sullivan,Certificate of Residency,Income,₱50.00,GCash,Pending
Apr 22, 2026,Rose Graham,Barangay Clearance,Income,₱70.00,GCash,Pending
Apr 22, 2026,Arthur Hamilton,Certificate of Indigency,Income,₱80.00,GCash,Pending
Apr 22, 2026,Sara Ford,Certificate of Residency,Income,₱50.00,GCash,Pending
Apr 22, 2026,Carl Myers,Barangay Clearance,Income,₱70.00,GCash,Pending
Apr 22, 2026,Norma Russell,Barangay Clearance,Income,₱70.00,GCash,Pending
Apr 22, 2026,Ryan Alexander,Certificate of Indigency,Income,₱80.00,GCash,Pending
Apr 22, 2026,Mae Hayes,Certificate of Indigency,Income,₱80.00,GCash,Pending
Apr 22, 2026,Jacob Griffin,Certificate of Residency,Income,₱50.00,GCash,Pending
Apr 22, 2026,Lawrence Simmons,Barangay Clearance,Income,₱70.00,GCash,Pending
Apr 22, 2026,Edna Bryant,Certificate of Residency,Income,₱50.00,GCash,Pending
Apr 22, 2026,Lillian Butler,Certificate of Indigency,Income,₱80.00,GCash,Pending
Apr 22, 2026,Jerry Washington,Certificate of Residency,Income,₱50.00,GCash,Pending
Apr 22, 2026,Phyllis Flores,Barangay Clearance,Income,₱70.00,GCash,Pending
Apr 22, 2026,Dennis Hughes,Certificate of Indigency,Income,₱80.00,GCash,Pending
Apr 22, 2026,Helen Patterson,Certificate of Residency,Income,₱50.00,GCash,Pending
Apr 22, 2026,Ronald Long,Barangay Clearance,Income,₱70.00,GCash,Pending
Apr 22, 2026,Constance Powell,Certificate of Indigency,Income,₱80.00,GCash,Pending
Apr 22, 2026,Edward Perry,Certificate of Residency,Income,₱50.00,GCash,Pending
